FastLane Proposal Number,Last Name,First Name,Institution or Affiliation,Conflicted with Person (Last Name),Conflicted with Person (FirstName),Type of Conflict
,Rusay,Matthew,TCNJ,Fertig,Elana,Co-Author
,Sakai,Akihiro,UCSD,Fertig,Elana,Co-Author
,Sausen,Mark,Personal Genome Diagnostics,Fertig,Elana,Co-Author
,Shajahan-Haq,Ayesha N,Georgetown,Fertig,Elana,Co-Author
,Shan,Roger,TCNJ,Fertig,Elana,Co-Author
,Shankrit,Shambhavi,JHU,Fertig,Elana,Co-Author
,Shao,Chunbo,JHU,Fertig,Elana,Co-Author
,Sharma,Rajni,JHU,Fertig,Elana,Co-Author
,Shenouda,George,JHU,Fertig,Elana,Co-Author
,Sherman,Thomas,TCNJ,Fertig,Elana,Co-Author
,Shuptrine,Casey W,Duke,Fertig,Elana,Co-Author
,Sidransky,David,JHU,Fertig,Elana,Co-Author
,Sivy,Shawn,TCNJ,Fertig,Elana,Co-Author
,Slebos,R J,Moffitt,Fertig,Elana,Co-Author
,Sloma,Ido,Champions Oncology,Fertig,Elana,Co-Author
,Sobel,Ryan,JHU,Fertig,Elana,Co-Author
,Soudry,Ethan,JHU,Fertig,Elana,Co-Author
,Stansfield,John C,TCNJ,Fertig,Elana,Co-Author
,Stein-O'Brien,Genevieve L,JHU,Fertig,Elana,Postdoctoral Mentor
,Sukumar,Saraswati,JHU,Fertig,Elana,Co-Author
,Sun,Wenyue,JHU,Fertig,Elana,Co-Author
,Talbot,C Conover,JHU,Fertig,Elana,Co-Author
,Tan,Marietta,JHU,Fertig,Elana,Co-Author
,Taparra,Kekoa,JHU,Fertig,Elana,Co-Author
,Taylor,Dane,SUNY Buffalo,Fertig,Elana,Co-Author
,Thakar,Manjusha,JHU,Fertig,Elana,Co-Author
,Thessen,Anne,Ronin Institute,Fertig,Elana,Co-Author
,Tiscareno,Ilse,JHU,Fertig,Elana,Co-Author
,Tokheim,Collin,JHU,Fertig,Elana,Co-Author
,Tran,Phuoc T,JHU,Fertig,Elana,Co-Author
,Uemura,Mamoru,JHU,Fertig,Elana,Co-Author
,Vatapalli,Rajita,JHU,Fertig,Elana,Co-Author
,Velculescu,Victor E,JHU,Fertig,Elana,Co-Author
,Vogelstein,Bert,JHU,Fertig,Elana,Co-Author
,Wang,Hao,JHU,Fertig,Elana,Co-Author
,Wang,Zhiming,JHU,Fertig,Elana,Co-Author
,Wei,Yingying,JHU,Fertig,Elana,Co-Author
,Weidhaas,J B,UCLA,Fertig,Elana,Co-Author
,Weiner,Louis M,Georgetown,Fertig,Elana,Co-Author
,Westra,William,JHU,Fertig,Elana,Co-Author
,Westra,William H,JHU,Fertig,Elana,Co-Author
,Wheelan,Sarah,JHU,Fertig,Elana,Co-Author
,Wheelan,Sarah J,JHU,Fertig,Elana,Co-Author
,Wick,Michael J,South Texas Accelerated Research Therapeutics,Fertig,Elana,Co-Author
,Williams,Russell D,JHU,Fertig,Elana,Co-Author
,Wood,Laura D,JHU,Fertig,Elana,Co-Author
,Wysocki,Piotr T,JHU,Fertig,Elana,Co-Author
,Xia,Xiaoxin,JHU,Fertig,Elana,Co-Author
,Yegnasubramanian,Srinivasan,JHU,Fertig,Elana,Co-Author
,Yoon,A-Rum,JHU,Fertig,Elana,Co-Author
,Zhang,Chi,JHU,Fertig,Elana,Co-Author
,Zhang,Kaihua,Wash U,Fertig,Elana,Co-Author
,Zhavoronkov,Alex,JHU,Fertig,Elana,Co-Author
,Zizkova,Veronika,JHU,Fertig,Elana,Co-Author
,Hunt,Brian,UMCP,Fertig,Elana,PhD Advisor
,Ott,Edward,UMCP,Fertig,Elana,PhD Advisor (committee)
,Szunyogh,Istvan,Texas A&M,Fertig,Elana,PhD Advisor (committee)
,Kalnay,Eugenia,UMCP,Fertig,Elana,PhD Advisor (committee)
,Todling,Ricardo,NASA Goddard,Fertig,Elana,PhD Advisor
